MODEL,PRODUCT NAME,DESCRIPTION/KEY FEATURES,PRODUCT CATEGORY,"PRODUCT WIDTH
(mm)","PRODUCT DEPTH
(mm)","PRODUCT HEIGHT
(mm)","PACKED
WEIGHT
(kg's)","PACKED
VOLUME
(m³)","PRODUCT
CAPACITY","POWER
DELIVERY",BRAND,IMAGES,CAD DRAWING,"PRODUCT
ORIGIN",BROCHURE,WARRANTY,"RRP
(ex GST)",ACCESSORIES,"RELATED
MODELS",product order,
MW10CW,Multi-function Warmer - Chip Warmer,"This compact bench-top warmer can accommodate a range of accessories to suit the type of hot food being displayed. With heat source from above (quartz heat lamp) and from below (stainless steel elements), the unit attractively holds and displays hot food, ready for service. The MW10CW is supplied with a sloped tray for use with chips.","Benchtop > Chip Warmers, Benchtop",395,640,475,16,0.190,N/A,685w,ROBAND,"MW10CW Multi Warmer Chip Warmer.jpg

MW10CW Multi Warmer Chip Warmer & light on.jpg",MW10CW_v1.DWG,Australia,"Roband-MultiWarmer-Feb2020.pdf

Roband Catalogue April2020.pdf",12 months, $878.00 ,,"MW10
MW10CS",109,
11,Roband Boiling Hot Plates 190mm,"Totally portable, this unit has the power and versatility to simmer, boil or fry in any location. 6 heat settings, high speed recovery, sealed cast iron hot plates & a stainless steel construction. 190mm diameter plate","Benchtop, Benchtop > Hot Plates",300,255,105,5,0.028,190mm diameter,1840w,ROBAND,11 Boiling plate.jpg,11_v1.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $292.00 ,0,"12
13",110,
12,Roband Boiling Hot Plates 2 x 150mm,"Totally portable, this unit has the power and versatility to simmer, boil or fry in any location. 6 heat settings per plate, high speed recovery, sealed cast iron hot plates & a stainless steel construction. 2 x 150mm
diameter plates","Benchtop, Benchtop > Hot Plates",510,265,105,6,0.033,2 x 150mm diameter,2300w,ROBAND,12 Boiling plate.jpg,12_v1.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $373.00 ,0,"11
13",111,
13,Roband Boiling Hot Plates 230mm,"Totally portable, this unit has the power and versatility to simmer, boil or fry in any location. 6 heat settings, high speed recovery, sealed cast iron hot plates & a stainless steel construction. 230mm diameter plate","Benchtop, Benchtop > Hot Plates",360,282,105,7,0.028,230mm diameter,1840w,ROBAND,13 Boiling plate.jpg,13_v1.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $357.00 ,0,"11
12",112,
KH2,Roband Coffee Pot Warmer,"Keep two pots of hot coffee at correct serving temperature without spoilage, stainless steel body, two illuminated on/off switches & attractive enamelled plates.2 pots","Beverage, Beverage > Coffee Warming Plates",385,220,75,4,0.028,2 pots,250w,ROBAND,KH2 Coffee Warmer.jpg,KH2_v3 .DWG,Australia,Roband Catalogue July2018.pdf,12 months, $269.00 ,0,CP80,113,
MH16,Roband Sauce Warmer,"This 2 litre unit keeps between 20 and 30 servings of gravy or sauce warm, it is ideal for small or off-site functions, it's easy to clean with a removable 1/6 pan, dry operation only.2lt","Displays, Displays > Hot Food Displays",176,170,284,4,0.024,2lt,125w,ROBAND,MH16 Sauce Warmer.jpg,MH16_v2.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $242.00 ,Z16150,0,114,
CHOC1,"Roband Chocolate Bain Marie 1/2 size, pan not included","Designed for holding the temperature of melted chocolate for food coating applications. Takes various gastronorm pans, wet only operation, self-resetting thermal safety cut-out, double skin tank, thermostatically controlled with a temperature range 20-50ºC. Stainless steel construction. 1 x 1/2 size, pan not included.","Benchtop > Bain Maries, Benchtop",355,305,320,8,0.079,,670w,ROBAND,CHOC1 Choc Bain Marie.jpg,CHOC1_v3.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $709.00 ,Z12150,CHOC2,115,
CHOC1A,"Roband Chocolate Bain Marie, 1 x 1/2 size pan","Designed for holding the temperature of melted chocolate for food coating applications. Takes various gastronorm pans, wet only operation, self-resetting thermal safety cut-out, double skin tank, thermostatically controlled with a temperature range 20-50ºC. Stainless steel construction. Comes with 1 x 1/2 size 150mm deep pan plus lid.","Benchtop > Bain Maries, Benchtop",355,305,320,9,0.079,,670w,ROBAND,CHOC1A Choc Bain Marie.jpg,CHOC1_v3.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $766.00 ,Z12150,CHOC2A,116,
CHOC2,"Roband Chocolate Bain Marie 2 x 1/2 size, pans not included ","Designed for holding the temperature of melted chocolate for food coating applications. Takes various combinations of gastronorm pans, wet only operation, self-resetting thermal safety cut-out, double skin tank, thermostatically controlled with a temperature range 20-50ºC. Stainless steel construction. 2 x 1/2 size, pans not included.","Benchtop > Bain Maries, Benchtop",560,355,320,15,0.147,,1000w,ROBAND,CHOC2 Choc Bain Marie.jpg,CHOC2_v5.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $747.00 ,Z12150,0,117,
CHOC2A,"Roband Chocolate Bain Marie 2 x 1/2 size, pans","Designed for holding the temperature of melted chocolate for food coating applications.Takes a various combination of gastronorm pans, wet only operation, self-resetting thermal safety cut-out, double skin tank, thermostatically controlled with a temperature range 20-50ºC and has a stainless steel construction. Comes with 2 x 1/2 size 150mm deep pans plus lid.","Benchtop > Bain Maries, Benchtop",560,355,320,17,0.147,20lt,1000w,ROBAND,CHOC2A Choc Bain Marie.jpg,CHOC2_v5.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $823.00 ,Z12150,0,118,
BM1,"Roband Counter Top Bain Marie 1/2 size, pans not included","Stainless steel construction, durable stainless steel elements, energy regulator control, slimline thermometer, removable crossbars, double skin tank, wet and dry operation, designed to support a range of gastronorm pan combinations up to 150mm.","Benchtop > Bain Maries, Benchtop",355,305,320,10,0.080,0,670w,ROBAND,BM1 Bain Marie.jpg,BM1_v2.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $667.00 ,"Z12100
Z12150","BM2
BM4",119,
BM1A,Roband Counter Top Bain Marie 1/2 size 100mm pan,"Stainless steel construction, durable stainless steel elements, energy regulator control, slimline thermometer, removable crossbars, double skin tank, wet and dry operation, comes with 1 x 1/2 size 100mm pan & lid.","Benchtop > Bain Maries, Benchtop",355,305,320,11,0.080,7lt,670w,ROBAND,BM1A Bain Marie.jpg,,Australia,Roband Catalogue July2018.pdf,12 months, $707.00 ,Z12100,"BM2A
BM4A",120,
BM1B,Roband Counter Top Bain Marie 1/2 size 150mm pan,"Stainless steel construction, durable stainless steel elements, energy regulator control, slimline thermometer, removable crossbars, double skin tank, wet and dry operation, comes with 1 x 1/2 size 150mm pan & lid.","Benchtop > Bain Maries, Benchtop",355,305,320,11,0.080,10.5lt,670w,ROBAND,BM1B Bain Marie.jpg,,Australia,Roband Catalogue July2018.pdf,12 months, $716.00 ,Z12150,"BM2B
BM4B",121,
BM1E,Roband Counter Top Bain Marie 200mm round pot,"Stainless steel construction, durable stainless steel elements, energy regulator control, slimline thermometer, removable crossbars, double skin tank, wet and dry operation, comes with 1 x 200mm round pot & lid (7.25lt)","Benchtop > Bain Maries, Benchtop",355,305,320,11,0.080,7.25lt,670w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months, $750.00 ,"Z1017
Z1017C","BM2E
BM4E",122,
BM1T,"Roband Counter Top Bain Marie  with thermostat 1/2 size, pan not included","Stainless steel construction, durable stainless steel elements, precise thermostatic control, slimline thermometer, removable crossbars, double skin tank, wet and dry operation, designed to support a range of gastronorm pan combinations up to 150mm.","Benchtop > Bain Maries, Benchtop",355,305,320,10,0.080,0,670w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months, $688.00 ,"Z12100
Z12150","BM1
BM2T
BM4T",123,
BM2,"Roband Counter Top Bain Marie 2 x 1/2 size, pans not included","Stainless steel construction, durable stainless steel elements, energy regulator control, slimline thermometer, removable crossbars, double skin tank, wet and dry operation, designed to support a range of gastronorm pan combinations up to 150mm.","Benchtop > Bain Maries, Benchtop",560,355,320,15,0.146,0,1000w,ROBAND,BM2 Bain Marie.jpg,BM2_v4.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $675.00 ,"Z12100
Z12150","BM1
BM4",124,
BM2A,Roband Counter Top Bain Marie 2 x 1/2 size 100mm pans,"Stainless steel construction, durable stainless steel elements, energy regulator control, slimline thermometer, removable crossbars, double skin tank, wet and dry operation, comes with 2 x 1/2 size 100mm pan & lid.","Benchtop > Bain Maries, Benchtop",560,355,320,16,0.146,14lt,1000w,ROBAND,BM2A Bain Marie.jpg,,Australia,Roband Catalogue July2018.pdf,12 months, $752.00 ,Z12100,"BM1A
BM4A",125,
BM2B,Roband Counter Top Bain Marie 3 x 1/3 size 100mm pans,"Stainless steel construction, durable stainless steel elements, energy regulator control, slimline thermometer, removable crossbars, double skin tank, wet and dry operation, comes with 3 x 1/3 size 100mm pan & lid.13.5lt","Benchtop > Bain Maries, Benchtop",560,355,320,16,0.146,13.5lt,1000w,ROBAND,BM2B Bain Marie.jpg,,Australia,Roband Catalogue July2018.pdf,12 months, $767.00 ,Z13100,"
BM4B",126,
BM2C,Roband Counter Top Bain Marie 3 x 1/3 size 150mm pans,"Stainless steel construction, durable stainless steel elements, energy regulator control, slimline thermometer, removable crossbars, double skin tank, wet and dry operation, comes with 3 x 1/3 size 150mm pan & lid.","Benchtop > Bain Maries, Benchtop",560,355,320,16,0.146,19.5lt,1000w,ROBAND,BM2C Bain Marie.jpg,,Australia,Roband Catalogue July2018.pdf,12 months, $800.00 ,Z13150,BM4C,127,
BM2E,Roband Counter Top Bain Marie 2 x 200mm round pots,"Stainless steel construction, durable stainless steel elements, energy regulator control, slimline thermometer, removable crossbars, double skin tank, wet and dry operation, comes with 2 x 200mm (7.25lt) round pot & lid.14.5lt","Benchtop > Bain Maries, Benchtop",560,355,320,16,0.146,14.5lt,1000w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months, $786.00 ,"Z1017
Z1017C",BM4E,128,
BM2T,"Roband Counter Top Bain Marie  with thermostat 2 x 1/2 size, pans not included","Stainless steel construction, durable stainless steel elements, precise thermostatic control, slimline thermometer, removable crossbars, double skin tank, wet and dry operation, designed to support a range of gastronorm pan combinations up to 150mm.","Benchtop > Bain Maries, Benchtop",560,355,320,15,0.146,0,1000w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months, $725.00 ,"Z12100
Z12150
Z13100
Z13150","BM2
BM1T
BM4T",129,
BM21,"Roband Counter Top Bain Marie narrow 2 x 1/2 size, pans not included","Stainless steel construction, durable stainless steel elements, energy regulator control, slimline thermometer, removable crossbars, double skin tank, wet and dry operation, designed to support a range of gastronorm pan combinations up to 150mm. Side positioned control and drain. Narrow fit, 1 pan wide x 2 pans deep)","Benchtop > Bain Maries, Benchtop",355,560,320,15,0.146,0,1000w,ROBAND,BM21 Bain Marie.jpg,,Australia,Roband Catalogue July2018.pdf,12 months, $675.00 ,"Z12100
Z12150","BM1
BM4",130,
BM21T,"Roband Counter Top Bain Marie narrow with thermostat 2 x 1/2 size, pans not included","Stainless steel construction, durable stainless steel elements, thermostat control, slimline thermometer, removable crossbars, double skin tank, wet and dry operation, designed to support a range of gastronorm pan combinations up to 150mm. Side positioned control and drain.  Narrow fit, 1 pan wide x 2 pans deep)","Benchtop > Bain Maries, Benchtop",355,560,320,15,0.146,0,1000w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months, $725.00 ,"Z12100
Z12150","BM1
BM4",131,
BM4,"Roband Counter Top Bain Marie 4 x 1/2 size, pans not included","Stainless steel construction, durable stainless steel elements, energy regulator control, slimline thermometer, removable crossbars, double skin tank, wet and dry operation, designed to support a range of gastronorm pan combinations up to 150mm.","Benchtop > Bain Maries, Benchtop",680,560,320,19,0.176,0,1200w,ROBAND,BM4 Bain Marie.jpg,BM4_v4.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $823.00 ,"Z12100
Z12150
Z13100
Z13150","BM2
BM1",132,
BM4A,Roband Counter Top Bain Marie 4 x 1/2 size 100mm pans,"Stainless steel construction, durable stainless steel elements, energy regulator control, slimline thermometer, removable crossbars, double skin tank, wet and dry operation, comes with 4 x 1/2 size 100mm pan & lid.28lt","Benchtop > Bain Maries, Benchtop",680,560,320,20,0.176,28lt,1200w,ROBAND,BM4A Bain Marie.jpg,,Australia,Roband Catalogue July2018.pdf,12 months, $981.00 ,Z12100,"BM2A
BM1A",133,
BM4B,Roband Counter Top Bain Marie 6 x 1/3 size 100mm pans,"Stainless steel construction, durable stainless steel elements, energy regulator control, slimline thermometer, removable crossbars, double skin tank, wet and dry operation, comes with 6 x 1/3 size 100mm pan & lid.27lt","Benchtop > Bain Maries, Benchtop",680,560,320,20,0.176,27lt,1200w,ROBAND,BM4B Bain Marie.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $1,013.00 ",Z13100,"BM2B
BM1B",134,
BM4C,Roband Counter Top Bain Marie  6 x 1/3 size 150mm pans,"Stainless steel construction, durable stainless steel elements, energy regulator control, slimline thermometer, removable crossbars, double skin tank, wet and dry operation, comes with 6 x 1/3 size 150mm pan & lid.39lt","Benchtop > Bain Maries, Benchtop",680,560,320,20,0.176,39lt,1200w,ROBAND,BM4C Bain Marie.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $1,076.00 ",Z13150,BM2C,135,
BM4E,Roband Counter Top Bain Marie 4 x 200mm round pots,"Stainless steel construction, durable stainless steel elements, energy regulator control, slimline thermometer, removable crossbars, double skin tank, wet and dry operation, comes with 4 x 200mm (7.25lt) round pot & lid.29lt","Benchtop > Bain Maries, Benchtop",680,560,320,20,0.176,29lt,1200w,ROBAND,BM4E Bain Marie.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $1,052.00 ","Z1017
Z1017C",BM2E,136,
BM4T,"Roband Counter Top Bain Marie with thermostat 2 x 1/2 size, pans not included","Stainless steel construction, durable stainless steel elements, precise thermostatic control, slimline thermometer, removable crossbars, double skin tank, wet and dry operation, designed to support a range of gastronorm pan combinations up to 150mm.","Benchtop > Bain Maries, Benchtop",680,560,320,19,0.176,0,1200w,ROBAND,BM4T Bain Marie.jpg,,Australia,Roband Catalogue July2018.pdf,12 months, $871.00 ,"Z12100
Z12150
Z13100
Z13150","BM4
BM2T
BM1T",137,
BM14,"Roband Hot Bain Marie 4 x 1/2 size, pans not included, single row","Designed to hold food at serving temperature, stainless steel construction, removable cross bars, safety lock ball valve drain, wet or dry operation, Dura-life stainless steel elements, energy regulator control, thermometer display, designed to support a range of gastronorm pan combinations up to 100mm, trolleys available. ","Benchtop > Bain Maries, Benchtop",1135,408,255,26,0.335,28lt,1650w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months, $986.00 ,Z12100,"BM15A
BM16A
BM22A
BM23A
BM24A
BM25A
BM26A",138,
BM14A,"Roband Hot Bain Marie 4 x 1/2 size pans, single row","Designed to hold food at serving temperature, stainless steel construction, removable cross bars, safety lock ball valve drain, wet or dry operation, Dura-life stainless steel elements, energy regulator control, thermometer display, max pan depth 100mm, trolleys available. Comes with 4 x 1/2 size 100mm deep pans.","Benchtop > Bain Maries, Benchtop",1135,408,255,30,0.335,28lt,1650w,ROBAND,BM14A BainMarie gray.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $1,141.00 ",Z12100,"BM15A
BM16A
BM22A
BM23A
BM24A
BM25A
BM26A",139,
BM16,"Roband Hot Bain Marie 6 x 1/2 size, pans not included, single row","Designed to hold food at serving temperature, stainless steel construction, removable cross bars, safety lock ball valve drain, wet or dry operation, Dura-life stainless steel elements, energy regulator control, thermometer display, designed to support a range of gastronorm pan combinations up to 100mm, trolleys available. ","Benchtop > Bain Maries, Benchtop",1665,408,255,33,0.467,42lt,1550w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $1,199.00 ",Z12100,"BM22A
BM23A
BM24A
BM25A
BM26A",140,
BM16A,"Roband Hot Bain Marie 6 x 1/2 size pans, single row","Designed to hold food at serving temperature, stainless steel construction, removable cross bars, safety lock ball valve drain, wet or dry operation, Dura-life stainless steel elements, energy regulator control, thermometer display, max pan depth 100mm, trolleys available. Comes with 6 x 1/2 size 100mm deep pans.","Benchtop > Bain Maries, Benchtop",1665,408,255,38,0.467,42lt,1550w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $1,426.00 ",Z12100,"BM22A
BM23A
BM24A
BM25A
BM26A",141,
BM22,"Roband Hot Bain Marie 4 x 1/2 size, pans not included, double row","Designed to hold food at serving temperature, stainless steel construction, removable cross bars, safety lock ball valve drain, wet or dry operation, Dura-life stainless steel elements, energy regulator control, thermometer display, designed to support a range of gastronorm pan combinations up to 100mm, trolleys available. ","Benchtop > Bain Maries, Benchtop",705,615,255,26,0.313,28lt,1200w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months, $914.00 ,"Z12100
ET22
ETP22","BM23A
BM24A
BM25A
BM26A",142,
BM22A,"Roband Hot Bain Marie 4 x 1/2 size pans, double row","Designed to hold food at serving temperature, stainless steel construction, removable cross bars, safety lock ball valve drain, wet or dry operation, Dura-life stainless steel elements, energy regulator control, thermometer display, max pan depth 100mm, trolleys available. Comes with 4 x 1/2 size 100mm deep pans.","Benchtop > Bain Maries, Benchtop",705,615,255,30,0.313,28lt,1200w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $1,066.00 ","Z12100
ET22
ETP22","BM23A
BM24A
BM25A
BM26A",143,
BM23,"Roband Hot Bain Marie 6 x 1/2 size, pans not included, double row","Designed to hold food at serving temperature, stainless steel construction, removable cross bars, safety lock ball valve drain, wet or dry operation, Dura-life stainless steel elements, energy regulator control, thermometer display, designed to support a range of gastronorm pan combinations up to 100mm, trolleys available. ","Benchtop > Bain Maries, Benchtop",1030,615,255,33,0.423,42lt,1800w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $1,048.00 ","Z12100
ET23
ETP23","BM24A
BM25A
BM26A ",144,
BM23A,"Roband Hot Bain Marie 6 x 1/2 size pans, double row","Designed to hold food at serving temperature, stainless steel construction, removable cross bars, safety lock ball valve drain, wet or dry operation, Dura-life stainless steel elements, energy regulator control, thermometer display, max pan depth 100mm, trolleys available. Comes with 6 x 1/2 size 100mm deep pans.","Benchtop > Bain Maries, Benchtop",1030,615,255,38,0.423,42lt,1800w,ROBAND,BM23A Hot Bain Marie.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $1,274.00 ","Z12100
ET23
ETP23","BM24A
BM25A
BM26A ",145,
BM24,"Roband Hot Bain Marie 8 x 1/2 size, pans not included, double row","Designed to hold food at serving temperature, stainless steel construction, removable cross bars, safety lock ball valve drain, wet or dry operation, Dura-life stainless steel elements, energy regulator control, thermometer display, designed to support a range of gastronorm pan combinations up to 100mm, trolleys available. ","Benchtop > Bain Maries, Benchtop",1355,615,255,40,0.543,56lt,2700w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $1,110.00 ","Z12100
ET24
ETP24","BM25A
BM26A",146,
BM24A,"Roband Hot Bain Marie 8 x 1/2 size pans, double row","Designed to hold food at serving temperature, stainless steel construction, removable cross bars, safety lock ball valve drain, wet or dry operation, Dura-life stainless steel elements, energy regulator control, thermometer display, max pan depth 100mm, trolleys available. Comes with 8 x 1/2 size 100mm deep pans.","Benchtop > Bain Maries, Benchtop",1355,615,255,48,0.543,56lt,2700w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $1,413.00 ","Z12100
ET24
ETP24","BM25A
BM26A",147,
BM25,"Roband Hot Bain Marie 10 x 1/2 size, pans not included, double row","Designed to hold food at serving temperature, stainless steel construction, removable cross bars, safety lock ball valve drain, wet or dry operation, Dura-life stainless steel elements, energy regulator control, thermometer display, designed to support a range of gastronorm pan combinations up to 100mm, trolleys available. ","Benchtop > Bain Maries, Benchtop",1680,615,255,50,0.664,70lt,2700w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $1,247.00 ","Z12100
ET25
ETP25",BM26A,148,
BM25A,"Roband Hot Bain Marie 10 x 1/2 size pans, double row","Designed to hold food at serving temperature, stainless steel construction, removable cross bars, safety lock ball valve drain, wet or dry operation, Dura-life stainless steel elements, energy regulator control, thermometer display, max pan depth 100mm, trolleys available. Comes with 10 x 1/2 size 100mm deep pans.","Benchtop > Bain Maries, Benchtop",1680,615,255,60,0.664,70lt,2700w,ROBAND,BM25A Hot Bain Marie.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $1,625.00 ","Z12100
ET25
ETP25",BM26A,149,
BM26,"Roband Hot Bain Marie 12 x 1/2 size, pans not included, double row","Designed to hold food at serving temperature, stainless steel construction, removable cross bars, safety lock ball valve drain, wet or dry operation, Dura-life stainless steel elements, energy regulator control, thermometer display, designed to support a range of gastronorm pan combinations up to 100mm, trolleys available. ","Benchtop > Bain Maries, Benchtop",2005,615,255,63,0.781,84lt,2700w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $1,356.00 ","Z12100
ET26
ETP26",BM25A,150,
BM26A,"Roband Hot Bain Marie 12 x 1/2 size pans, double row","Designed to hold food at serving temperature, stainless steel construction, removable cross bars, safety lock ball valve drain, wet or dry operation, Dura-life stainless steel elements, energy regulator control, thermometer display, max pan depth 100mm, trolleys available. Comes with 12 x 1/2 size 100mm deep pans.","Benchtop > Bain Maries, Benchtop",2005,615,255,74,0.781,84lt,2700w,ROBAND,BM26A Hot Bain Marie.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $1,809.00 ","Z12100
ET26
ETP26",BM25A,151,
BR22,"Roband Refrigerated Bain Marie 4 x 1/2 size, pans not included, double row","Designed to hold food at serving temperature, stainless steel construction, removable cross bars, safety lock ball valve drain, quality refrigeration unit running on R404A refrigerant, adjustable digital thermostat with temperature readout, designed to support a range of gastronorm pan combinations up to 65mm, trolleys available. ","Displays > Cold Food Displays, Displays",705,615,"255
excludes motor
cage",52,0.522,18lt,480w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $3,726.00 ","Z12065
ET22
ETP22","BR23
BR24
BR25
BR26",152,
BR23,"Roband Refrigerated Bain Marie 6 x 1/2 size, pans not included, double row","Designed to hold food at serving temperature, stainless steel construction, removable cross bars, safety lock ball valve drain, quality refrigeration unit running on R404A refrigerant, adjustable digital thermostat with temperature readout, max pan depth 65mm, trolleys available. ","Displays > Cold Food Displays, Displays",1030,615,"255
excludes motor
cage",60,0.704,27lt,480w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $3,762.00 ","Z12065
ET23
ETP23","BR24
BR25
BR26",153,
BR24,"Roband Refrigerated Bain Marie 8 x 1/2 size, pans not included, double row","Designed to hold food at serving temperature, stainless steel construction, removable cross bars, safety lock ball valve drain, quality refrigeration unit running on R404A refrigerant, adjustable digital thermostat with temperature readout, designed to support a range of gastronorm pan combinations up to 65mm, trolleys available. ","Displays > Cold Food Displays, Displays",1355,615,"255
excludes motor
cage",80,0.906,36lt,500w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $3,929.00 ","Z12065
ET24
ETP24","BR25
BR26",154,
BR25,"Roband Refrigerated Bain Marie 10 x 1/2 size, pans not included, double row","Designed to hold food at serving temperature, stainless steel construction, removable cross bars, safety lock ball valve drain, quality refrigeration unit running on R404A refrigerant, adjustable digital thermostat with temperature readout, designed to support a range of gastronorm pan combinations up to 65mm, trolleys available. 10 x 1/2 size, pans not included, double row","Displays > Cold Food Displays, Displays",1680,615,"255
excludes motor
cage",100,1.107,45lt,500w,ROBAND,BR25 with pans Refrig Bain Marie.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $4,362.00 ","Z12065
ET25
ETP25",BR26,155,
BR26,"Roband Refrigerated Bain Marie 12 x 1/2 size, pans not included, double row","Designed to hold food at serving temperature, stainless steel construction, removable cross bars, safety lock ball valve drain, quality refrigeration unit running on R404A refrigerant, adjustable digital thermostat with temperature readout, designed to support a range of gastronorm pan combinations up to 65mm, trolleys available. 12 x 1/2 size, pans not included, double row","Displays > Cold Food Displays, Displays",2005,615,"255
excludes motor
cage",120,1.302,54lt,500w,ROBAND,BR26 with pans Refrig Bain Marie.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $4,685.00 ","Z12065
ET26
ETP26",BR25,156,
E14,"Roband Straight Glass Hot Food Display Bar, 4 pans single row","Single row hot food display bar, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 4 x 1/2 size 65mm pans.18lt","Benchtop > Bain Maries, Benchtop",1135,420,675,53,0.895,18lt,2150w,ROBAND,E14 Straight Single Row Hot Food Bar.jpg,E14 - V5.DWG,Australia,Roband Catalogue July2018.pdf,12 months," $1,768.00 ","Z12100
E-SNZ14
TR14
ESG14
Z12065",E14RD,157,
E14RD,"Roband Straight Glass Hot Food Display Bar, 4 pans single row with roller doors","Single row hot food display bar, roller doors on control side, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 4 x 1/2 size 65mm pans.18lt","Benchtop > Bain Maries, Benchtop",1135,420,675,58,0.895,18lt,2150w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $1,957.00 ","Z12100
E-SNZ14
TR14
ESG14
Z12065",E16RD,158,
E16,"Roband Straight Glass Hot Food Display Bar, 6 pans single row","Single row hot food display bar, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 6 x 1/2 size 65mm pans.27lt","Benchtop > Bain Maries, Benchtop",1665,420,675,58,1.250,27lt,2300w,ROBAND,E16 Straight Single Row Hot Food Bar.jpg,E16 - V5.DWG,Australia,Roband Catalogue July2018.pdf,12 months," $2,031.00 ","Z12100
TR16
E-SNZ16
ESG16
Z12065",E16RD,159,
E16RD,"Roband Straight Glass Hot Food Display Bar, 6 pans single row with roller doors","Single row hot food display bar, roller doors on control side, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 6 x 1/2 size 65mm pans.27lt","Benchtop > Bain Maries, Benchtop",1665,420,675,64,1.250,27lt,2300w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $2,241.00 ","Z12100
TR16
E-SNZ16
ESG16
Z12065",E22RD,160,
E22,"Roband Straight Glass Hot Food Display Bar, 4 pans double row","Double row hot food display bar, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 4 x 1/2 size 65mm pans.18lt","Benchtop > Bain Maries, Benchtop",705,615,675,43,0.539,18lt,1450w,ROBAND,E22 Straight Double Row Hot Food bar.jpg,E22 - V5.DWG,Australia,Roband Catalogue July2018.pdf,12 months," $1,706.00 ","Z12100
TR22
E-SNZ22
ET22
ETP22",E22RD,161,
E22RD,"Roband Straight Glass Hot Food Display Bar, 4 pans double row with roller doors","Double row hot food display bar, roller doors on control side, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 4 x 1/2 size 65mm pans.18lt","Benchtop > Bain Maries, Benchtop",705,615,675,47,0.539,18lt,1450w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $1,876.00 ","Z12100
TR22
E-SNZ22
ET22
ETP22",E23RD,162,
